Publishing Journal,OAID,ISSN,Citing or Referenced Journal,Thirties,Forties,Fifties,Sixties,Seventies,Eighties,Nineties,Aughts,Teens,Twenties
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Marketing,0,10,2,8,123,680,786,1406,1212,237
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Marketing Research,0,0,0,94,494,296,405,266,581,75
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Consumer Research,0,0,0,0,122,183,72,128,296,74
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Marketing Science,0,0,0,0,0,71,140,280,174,27
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Consumer Psychology,0,0,0,0,0,0,99,65,188,50
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of the Academy of Marketing Science,0,0,0,0,312,239,351,520,838,150
Journal of Marketing,https://openalex.org/S142990027,1547-7185,International Journal of Research in Marketing,0,0,0,0,0,147,262,265,598,118
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Psychology and Marketing,0,0,0,0,0,104,99,112,279,103
Journal of Marketing,https://openalex.org/S142990027,1547-7185,European Journal of Marketing,0,0,0,5,165,130,349,281,459,71
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Journal of Retailing,0,0,0,0,0,1,262,255,366,54
Journal of Marketing,https://openalex.org/S142990027,1547-7185,Industrial Marketing Management,0,0,0,0,235,179,352,791,971,109
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Marketing,0,0,0,0,126,426,431,680,807,89
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Marketing Research,0,0,0,260,1320,895,695,732,1181,164
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Consumer Research,0,0,0,0,334,285,185,377,656,56
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Marketing Science,0,0,0,0,0,223,366,572,583,69
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Consumer Psychology,0,0,0,0,0,0,168,192,328,51
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of the Academy of Marketing Science,0,0,0,0,175,318,269,237,550,63
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,International Journal of Research in Marketing,0,0,0,0,0,265,348,262,630,45
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Psychology and Marketing,0,0,0,0,0,104,109,107,270,57
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,European Journal of Marketing,0,0,0,8,88,64,140,149,262,22
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Journal of Retailing,0,0,0,0,0,0,193,185,366,45
Journal of Marketing Research,https://openalex.org/S119950638,1547-7193,Industrial Marketing Management,0,0,0,0,146,120,132,241,251,27
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Journal of Marketing,0,0,0,0,21,214,280,351,397,52
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Journal of Marketing Research,0,0,0,0,88,295,339,388,671,54
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Journal of Consumer Research,0,0,0,0,146,644,469,1313,2070,141
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Marketing Science,0,0,0,0,0,80,68,146,39,4
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Journal of Consumer Psychology,0,0,0,0,0,0,270,533,912,71
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Journal of the Academy of Marketing Science,0,0,0,0,22,142,161,210,276,51
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,International Journal of Research in Marketing,0,0,0,0,0,93,129,116,342,22
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Psychology and Marketing,0,0,0,0,0,117,147,266,494,86
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,European Journal of Marketing,0,0,0,0,7,22,97,123,474,28
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Journal of Retailing,0,0,0,0,0,1,119,179,291,17
Journal of Consumer Research,https://openalex.org/S145429826,1537-5277,Industrial Marketing Management,0,0,0,0,0,8,18,39,86,4
Marketing Science,https://openalex.org/S163534328,0732-2399,Journal of Marketing,0,0,0,0,0,43,82,373,379,55
Marketing Science,https://openalex.org/S163534328,0732-2399,Journal of Marketing Research,0,0,0,0,0,128,273,348,624,101
Marketing Science,https://openalex.org/S163534328,0732-2399,Journal of Consumer Research,0,0,0,0,0,26,29,82,57,14
Marketing Science,https://openalex.org/S163534328,0732-2399,Marketing Science,0,0,0,0,0,151,296,1515,1056,188
Marketing Science,https://openalex.org/S163534328,0732-2399,Journal of Consumer Psychology,0,0,0,0,0,0,9,47,29,9
Marketing Science,https://openalex.org/S163534328,0732-2399,Journal of the Academy of Marketing Science,0,0,0,0,0,17,44,90,225,29
Marketing Science,https://openalex.org/S163534328,0732-2399,International Journal of Research in Marketing,0,0,0,0,0,32,101,184,452,44
Marketing Science,https://openalex.org/S163534328,0732-2399,Psychology and Marketing,0,0,0,0,0,3,8,49,34,22
Marketing Science,https://openalex.org/S163534328,0732-2399,European Journal of Marketing,0,0,0,0,0,1,6,32,82,16
Marketing Science,https://openalex.org/S163534328,0732-2399,Journal of Retailing,0,0,0,0,0,0,70,155,205,24
Marketing Science,https://openalex.org/S163534328,0732-2399,Industrial Marketing Management,0,0,0,0,0,0,3,41,71,7
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Journal of Marketing,0,0,0,0,0,0,20,90,106,21
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Journal of Marketing Research,0,0,0,0,0,0,29,92,232,27
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Journal of Consumer Research,0,0,0,0,0,0,32,290,449,25
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Marketing Science,0,0,0,0,0,0,2,33,18,1
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Journal of Consumer Psychology,0,0,0,0,0,0,78,713,793,137
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Journal of the Academy of Marketing Science,0,0,0,0,0,0,19,46,90,22
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,International Journal of Research in Marketing,0,0,0,0,0,0,8,41,126,12
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Psychology and Marketing,0,0,0,0,0,0,21,126,279,71
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,European Journal of Marketing,0,0,0,0,0,0,2,27,145,32
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Journal of Retailing,0,0,0,0,0,0,6,40,116,6
Journal of Consumer Psychology,https://openalex.org/S163545350,1532-7663,Industrial Marketing Management,0,0,0,0,0,0,0,4,15,3
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Journal of Marketing,0,0,0,0,0,23,143,303,212,29
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Journal of Marketing Research,0,0,0,0,7,8,29,32,66,19
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Journal of Consumer Research,0,0,0,0,1,6,9,24,40,16
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Marketing Science,0,0,0,0,0,2,4,39,20,2
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Journal of Consumer Psychology,0,0,0,0,0,0,11,25,26,7
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Journal of the Academy of Marketing Science,0,0,0,0,15,104,197,418,874,198
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,International Journal of Research in Marketing,0,0,0,0,0,8,36,81,169,54
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Psychology and Marketing,0,0,0,0,0,3,32,99,166,84
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,European Journal of Marketing,0,0,0,0,0,7,104,259,265,68
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Journal of Retailing,0,0,0,0,0,0,52,141,120,34
Journal of the Academy of Marketing Science,https://openalex.org/S92522684,1552-7824,Industrial Marketing Management,0,0,0,0,2,14,66,437,783,143
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Journal of Marketing,0,0,0,0,0,5,60,121,168,40
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Journal of Marketing Research,0,0,0,0,0,6,94,49,142,26
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Journal of Consumer Research,0,0,0,0,0,1,13,18,67,14
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Marketing Science,0,0,0,0,0,2,55,98,81,11
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Journal of Consumer Psychology,0,0,0,0,0,0,4,7,40,3
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Journal of the Academy of Marketing Science,0,0,0,0,0,1,23,55,200,71
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,International Journal of Research in Marketing,0,0,0,0,0,34,160,289,610,192
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Psychology and Marketing,0,0,0,0,0,1,6,33,79,88
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,European Journal of Marketing,0,0,0,0,0,3,55,73,152,46
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Journal of Retailing,0,0,0,0,0,0,19,37,96,41
International Journal of Research in Marketing,https://openalex.org/S11810700,1873-8001,Industrial Marketing Management,0,0,0,0,0,3,28,73,223,50
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Journal of Marketing,0,0,0,0,0,10,17,58,28,9
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Journal of Marketing Research,0,0,0,0,0,7,17,8,20,4
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Journal of Consumer Research,0,0,0,0,0,8,16,44,35,5
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Marketing Science,0,0,0,0,0,1,5,9,3,0
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Journal of Consumer Psychology,0,0,0,0,0,0,19,38,56,11
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Journal of the Academy of Marketing Science,0,0,0,0,0,14,14,48,82,21
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,International Journal of Research in Marketing,0,0,0,0,0,1,5,22,36,12
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Psychology and Marketing,0,0,0,0,0,24,88,640,1077,994
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,European Journal of Marketing,0,0,0,0,0,0,12,68,196,70
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Journal of Retailing,0,0,0,0,0,0,16,31,45,13
Psychology and Marketing,https://openalex.org/S102896891,0742-6046,Industrial Marketing Management,0,0,0,0,0,1,4,31,46,33
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Journal of Marketing,0,0,0,0,2,24,16,49,25,11
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Journal of Marketing Research,0,0,0,0,8,5,0,8,8,0
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Journal of Consumer Research,0,0,0,0,3,1,3,9,25,2
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Marketing Science,0,0,0,0,0,0,1,5,3,0
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Journal of Consumer Psychology,0,0,0,0,0,0,0,5,15,9
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Journal of the Academy of Marketing Science,0,0,0,0,7,6,8,48,70,16
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,International Journal of Research in Marketing,0,0,0,0,0,7,21,20,36,7
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Psychology and Marketing,0,0,0,0,0,5,6,29,136,105
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,European Journal of Marketing,0,0,0,2,48,73,177,516,916,240
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Journal of Retailing,0,0,0,0,0,0,6,17,26,10
European Journal of Marketing,https://openalex.org/S89389284,0309-0566,Industrial Marketing Management,0,0,0,0,19,28,38,284,263,69
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Journal of Marketing,0,0,0,0,0,3,42,129,94,19
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Journal of Marketing Research,0,0,0,0,1,5,16,39,75,19
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Journal of Consumer Research,0,0,0,0,0,3,2,24,39,14
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Marketing Science,0,0,0,0,0,0,19,55,20,6
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Journal of Consumer Psychology,0,0,0,0,0,0,0,18,24,18
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Journal of the Academy of Marketing Science,0,0,0,0,1,9,37,98,151,49
Journal of Retailing,https://openalex.org/S159120381,1873-3271,International Journal of Research in Marketing,0,0,0,0,0,2,20,36,114,30
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Psychology and Marketing,0,0,0,0,0,2,11,62,99,81
Journal of Retailing,https://openalex.org/S159120381,1873-3271,European Journal of Marketing,0,0,0,0,0,0,20,89,138,26
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Journal of Retailing,0,0,0,0,0,0,90,475,543,172
Journal of Retailing,https://openalex.org/S159120381,1873-3271,Industrial Marketing Management,0,0,0,0,0,1,9,83,142,19
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Journal of Marketing,0,0,0,0,5,51,14,34,60,10
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Journal of Marketing Research,0,0,0,0,5,19,3,3,12,1
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Journal of Consumer Research,0,0,0,0,0,1,0,0,3,1
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Marketing Science,0,0,0,0,0,3,4,4,0,0
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Journal of Consumer Psychology,0,0,0,0,0,0,0,0,0,0
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Journal of the Academy of Marketing Science,0,0,0,0,3,36,21,61,143,37
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,International Journal of Research in Marketing,0,0,0,0,0,22,9,25,17,11
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Psychology and Marketing,0,0,0,0,0,0,3,14,74,34
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,European Journal of Marketing,0,0,0,0,7,45,45,144,185,107
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Journal of Retailing,0,0,0,0,0,0,2,17,8,7
Industrial Marketing Management,https://openalex.org/S31748134,0019-8501,Industrial Marketing Management,0,0,0,0,64,252,282,1916,7518,2528
